Name: Motor2
Unit: Hz
date,Frequency
2020-04-17 00:22:37,35.19
2020-04-17 01:22:39,35.1882
2020-04-17 02:22:39,35.1905
2020-04-17 03:22:40,35.0523
2020-04-17 04:22:38,34.6973
2020-04-17 05:22:39,34.6845
2020-04-17 06:22:40,34.6788
2020-04-17 07:22:40,34.7736
2020-04-17 08:22:39,35.6602
2020-04-17 09:22:39,35.1896
2020-04-17 10:22:40,35.5333
2020-04-17 11:22:40,35.6335
2020-04-17 12:22:39,35.1894
2020-04-17 13:22:39,35.6488
2020-04-17 14:22:38,35.652
2020-04-17 15:22:39,35.6757
2020-04-17 16:22:40,35.188
2020-04-17 17:22:40,35.6694
2020-04-17 18:22:41,35.4143
2020-04-17 19:22:40,35.6972
2020-04-17 20:22:40,35.6367
2020-04-17 21:22:40,35.6975
2020-04-17 22:22:41,35.6948
2020-04-17 23:22:41,35.385
2020-04-18 00:22:42,35.1911
2020-04-18 01:22:41,35.1893
2020-04-18 02:22:41,35.1895
2020-04-18 03:22:41,35.1896
2020-04-18 05:22:41,35.1901
2020-04-18 06:22:42,35.1896
2020-04-18 07:22:42,35.1906
2020-04-18 08:22:41,35.5505
2020-04-18 09:22:41,35.6841
2020-04-18 10:22:41,35.1907
2020-04-18 11:22:43,35.1886
2020-04-18 12:22:42,35.1866
2020-04-18 13:22:41,35.1873
2020-04-18 14:22:42,35.2851
2020-04-18 15:22:41,35.2069
2020-04-18 16:22:42,35.6897
2020-04-18 17:22:42,35.2995
2020-04-18 18:22:42,35.6234
2020-04-18 19:22:42,35.618
2020-04-18 20:22:43,35.1877
2020-04-18 21:22:42,35.6753
2020-04-18 22:22:43,35.1866
2020-04-18 23:22:42,35.1886
2020-04-19 00:22:43,35.189
2020-04-19 01:22:43,35.1861
2020-04-19 02:22:42,34.727
2020-04-19 03:22:43,35.1892
2020-04-19 04:22:43,35.1885
2020-04-19 05:22:43,34.6798
2020-04-19 06:22:42,35.1752
2020-04-19 07:22:43,35.1909
2020-04-19 08:22:43,35.2232
2020-04-19 09:22:43,35.1969
2020-04-19 10:22:43,35.2002
2020-04-19 11:22:43,35.2275
2020-04-19 12:22:44,35.1896
2020-04-19 13:22:44,35.6854
2020-04-19 14:22:43,35.6936
2020-04-19 15:22:43,35.192
2020-04-19 16:22:43,35.6665
2020-04-19 17:22:45,35.5249
2020-04-19 18:22:43,35.1901
2020-04-19 19:22:44,35.6973
2020-04-19 20:22:43,35.5266
2020-04-19 21:22:43,35.1882
2020-04-19 22:22:44,35.3226
2020-04-19 23:22:45,35.2574
2020-04-20 00:22:44,35.5689
2020-04-20 01:22:44,35.1866
2020-04-20 02:22:45,35.1877
2020-04-20 03:22:45,35.6155
2020-04-20 04:22:46,35.1909
2020-04-20 05:22:45,35.1874
2020-04-20 06:22:44,35.1871
2020-04-20 07:22:46,35.6974
2020-04-20 08:22:45,35.1876
2020-04-20 09:22:44,35.1896
2020-04-20 10:22:45,35.1894
2020-04-20 11:22:45,35.2019
2020-04-20 12:22:45,35.2008
2020-04-20 13:22:46,35.6496
2020-04-20 15:22:56,35.6966
2020-04-20 16:22:53,35.2871
2020-04-20 17:22:56,35.3756
2020-04-20 18:22:56,35.6056
2020-04-20 19:22:56,35.225
2020-04-20 20:22:56,35.6206
2020-04-20 21:22:56,35.3979
2020-04-20 22:22:57,35.6972
2020-04-20 23:22:57,35.558
2020-04-21 00:22:56,35.5025
2020-04-21 02:23:06,34.7026
2020-04-21 03:23:06,34.7453
2020-04-21 04:23:06,35.0171
2020-04-21 05:23:07,34.7492
2020-04-21 06:23:07,34.6963
2020-04-21 07:23:08,34.6806
2020-04-21 08:23:08,34.7365
2020-04-21 09:23:08,34.7273
2020-04-21 10:23:07,34.6876
2020-04-21 11:23:06,34.9709
2020-04-21 12:23:08,35.1889
2020-04-21 13:23:07,35.1893
2020-04-21 14:23:08,35.1916
2020-04-21 15:23:08,35.6568
2020-04-21 16:23:08,35.188
2020-04-21 17:23:07,35.1881
2020-04-21 18:23:08,35.2292
2020-04-21 19:23:08,35.2202
2020-04-21 20:23:07,35.1866
2020-04-21 21:23:07,34.7329
2020-04-21 22:23:08,35.186
2020-04-21 23:23:07,35.1885
2020-04-22 00:23:08,34.6986
2020-04-22 01:23:08,35.1817
2020-04-22 02:23:08,34.681
2020-04-22 03:23:08,34.6807
2020-04-22 04:23:09,34.6812
2020-04-22 05:23:08,34.6824
2020-04-22 06:23:09,34.6807
2020-04-22 07:23:08,34.682
2020-04-22 08:23:10,34.6806
2020-04-22 09:23:09,34.683
2020-04-22 10:23:10,35.1738
2020-04-22 11:23:10,35.1609
2020-04-22 12:23:10,35.6008
2020-04-22 13:23:11,35.1856
2020-04-22 14:23:11,34.8116
2020-04-22 15:23:11,0.0
2020-04-22 16:23:12,0.0
2020-04-22 17:23:12,0.0
2020-04-22 18:23:12,0.0
2020-04-22 19:23:13,0.0
2020-04-22 20:23:13,0.0
2020-04-22 21:23:13,0.0
2020-04-22 22:23:14,0.0
2020-04-22 23:23:14,0.0
2020-04-23 00:23:11,0.0
2020-04-23 01:23:10,0.0
2020-04-23 02:23:09,0.0
2020-04-23 03:23:10,0.0
2020-04-23 04:23:10,0.0
2020-04-23 05:23:11,0.0
2020-04-23 06:23:10,0.0
2020-04-23 07:23:10,0.0
2020-04-23 08:23:10,0.0
2020-04-23 09:23:09,0.0
2020-04-23 10:23:10,0.0
2020-04-23 11:23:11,0.0
2020-04-23 12:23:10,0.0
2020-04-23 13:23:12,0.0
2020-04-23 14:23:11,0.0
2020-04-23 15:23:12,0.0
2020-04-23 16:23:10,0.0
2020-04-23 17:23:11,0.0
2020-04-23 18:23:12,0.0
2020-04-23 19:23:10,0.0
2020-04-23 20:23:11,0.0
2020-04-23 21:23:12,0.0
2020-04-23 22:23:11,0.0
2020-04-23 23:23:11,0.0
2020-04-24 00:23:12,0.0
2020-04-24 01:23:11,0.0
2020-04-24 02:23:12,0.0
2020-04-24 03:23:13,0.0
2020-04-24 04:23:23,0.0
2020-04-24 05:23:23,0.0
2020-04-24 06:23:22,0.0
2020-04-24 07:23:23,0.0
2020-04-24 08:23:23,0.0
2020-04-24 09:23:24,0.0
2020-04-24 10:23:23,0.0
2020-04-24 11:23:23,0.0
2020-04-24 12:23:22,0.0
2020-04-24 13:23:24,0.0
2020-04-24 14:23:23,0.0
2020-04-24 15:23:23,0.0
2020-04-24 16:23:23,0.0
2020-04-24 17:23:24,0.0
2020-04-24 18:23:24,0.0
