Name: Motor1
Unit: °F
date,Temperature
2020-04-17 00:19:47,23.1634
2020-04-17 01:19:48,23.1313
2020-04-17 02:19:48,23.0026
2020-04-17 03:19:47,22.9489
2020-04-17 04:19:47,22.8739
2020-04-17 05:19:48,22.8202
2020-04-17 06:19:48,22.7881
2020-04-17 07:19:48,22.7237
2020-04-17 08:19:48,22.7666
2020-04-17 09:19:47,22.8739
2020-04-17 10:19:49,22.9168
2020-04-17 11:19:49,23.0347
2020-04-17 12:19:49,23.0669
2020-04-17 13:19:48,23.142
2020-04-17 14:19:48,23.2707
2020-04-17 15:19:48,23.3458
2020-04-17 16:19:49,23.453
2020-04-17 17:19:49,23.5066
2020-04-17 18:19:48,23.5817
2020-04-17 19:19:48,23.6139
2020-04-17 20:19:50,23.5603
2020-04-17 21:19:49,23.6353
2020-04-17 22:19:49,23.5281
2020-04-17 23:19:49,23.571
2020-04-18 00:19:49,23.4637
2020-04-18 01:19:49,23.3887
2020-04-18 02:19:49,23.2707
2020-04-18 03:19:49,23.2278
2020-04-18 04:19:49,23.1313
2020-04-18 05:19:49,23.0347
2020-04-18 06:19:49,23.024
2020-04-18 07:19:50,22.9704
2020-04-18 08:19:49,23.0026
2020-04-18 09:19:50,23.0776
2020-04-18 10:19:50,23.0347
2020-04-18 11:19:50,23.1205
2020-04-18 12:19:49,23.2063
2020-04-18 13:19:49,23.2492
2020-04-18 14:19:48,23.3136
2020-04-18 15:19:49,23.453
2020-04-18 16:19:50,23.5495
2020-04-18 17:19:50,23.5924
2020-04-18 18:19:49,23.571
2020-04-18 19:19:49,23.6139
2020-04-18 20:19:51,23.6353
2020-04-18 21:19:50,23.6782
2020-04-18 22:19:51,23.6353
2020-04-18 23:19:50,23.6353
2020-04-19 00:19:50,23.4959
2020-04-19 01:19:51,23.4637
2020-04-19 02:19:52,23.3887
2020-04-19 03:19:50,23.2492
2020-04-19 04:19:51,23.142
2020-04-19 05:19:51,23.0562
2020-04-19 06:19:51,23.0776
2020-04-19 07:19:49,22.9597
2020-04-19 08:19:50,23.0026
2020-04-19 09:19:51,23.1098
2020-04-19 10:19:51,23.1098
2020-04-19 11:19:51,23.1098
2020-04-19 12:19:52,23.1956
2020-04-19 13:19:52,23.2385
2020-04-19 14:19:51,23.3136
2020-04-19 15:19:50,23.3458
2020-04-19 16:19:51,23.4423
2020-04-19 17:19:52,23.4637
2020-04-19 18:19:51,23.5817
2020-04-19 19:19:52,23.5388
2020-04-19 20:19:52,23.6032
2020-04-19 21:19:53,23.5174
2020-04-19 22:19:52,23.571
2020-04-19 23:19:52,23.5388
2020-04-20 00:19:52,23.4959
2020-04-20 01:19:51,23.5066
2020-04-20 02:19:52,23.4316
2020-04-20 03:19:53,23.3994
2020-04-20 04:19:51,23.3029
2020-04-20 05:19:51,23.2707
2020-04-20 06:19:53,23.1956
2020-04-20 07:19:53,23.1742
2020-04-20 08:19:53,23.0884
2020-04-20 09:19:50,23.0991
2020-04-20 10:19:52,23.0669
2020-04-20 11:19:53,23.0669
2020-04-20 12:19:53,23.0562
2020-04-20 13:19:53,23.1205
2020-04-20 14:19:52,23.1098
2020-04-20 15:19:52,23.1742
2020-04-20 16:19:52,23.2278
2020-04-20 17:19:54,23.2492
2020-04-20 18:19:54,23.2492
2020-04-20 19:19:53,23.3243
2020-04-20 20:19:53,23.2492
2020-04-20 21:19:52,23.2171
2020-04-20 22:19:53,23.26
2020-04-20 23:19:53,23.1956
2020-04-21 00:19:53,23.2171
2020-04-21 01:19:53,23.1313
2020-04-21 02:19:54,23.0562
2020-04-21 03:19:53,22.9918
2020-04-21 04:19:53,22.831
2020-04-21 05:19:54,22.7881
2020-04-21 06:19:53,22.7344
2020-04-21 07:19:54,22.6701
2020-04-21 08:19:53,22.6486
2020-04-21 09:19:54,22.6379
2020-04-21 10:19:53,22.595
2020-04-21 11:19:54,22.6057
2020-04-21 12:19:54,22.6486
2020-04-21 13:19:53,22.6701
2020-04-21 14:19:54,22.7773
2020-04-21 15:19:54,22.8631
2020-04-21 16:19:54,22.9382
2020-04-21 17:19:55,23.0026
2020-04-21 18:19:54,23.024
2020-04-21 19:19:55,23.0669
2020-04-21 20:19:52,23.0884
2020-04-21 21:19:52,23.024
2020-04-21 22:19:54,23.0347
2020-04-21 23:19:54,22.906
2020-04-22 00:19:53,22.8953
2020-04-22 01:19:54,22.8524
2020-04-22 02:19:55,22.8417
2020-04-22 03:19:56,22.7237
2020-04-22 04:19:55,22.6057
2020-04-22 05:19:55,22.6272
2020-04-22 06:19:55,22.595
2020-04-22 07:19:55,22.595
2020-04-22 08:19:56,22.5843
2020-04-22 09:19:56,22.6165
2020-04-22 10:19:55,22.6594
2020-04-22 11:19:55,22.6915
2020-04-22 12:19:55,22.7452
2020-04-22 13:19:55,22.8202
2020-04-22 14:19:56,22.9811
2020-04-22 14:27:26,23.0455
2020-04-22 15:27:26,29.073
2020-04-22 16:27:26,30.5423
2020-04-22 17:27:26,31.0786
2020-04-22 18:27:26,31.2287
2020-04-22 19:27:26,31.2287
2020-04-22 20:27:27,31.218
2020-04-22 21:27:27,31.1
2020-04-22 22:27:27,30.9284
2020-04-22 23:27:27,30.8212
2020-04-23 00:27:26,30.6925
2020-04-23 01:27:26,30.5423
2020-04-23 02:27:26,30.36
2020-04-23 03:27:26,30.2206
2020-04-23 04:27:27,30.1884
2020-04-23 05:27:27,30.049
2020-04-23 06:27:26,30.1455
2020-04-23 07:27:25,30.242
2020-04-23 08:27:26,30.4243
2020-04-23 09:27:28,30.4672
2020-04-23 10:27:27,30.671
2020-04-23 11:27:25,30.8533
2020-04-23 12:27:25,31.0678
2020-04-23 13:27:27,31.1965
2020-04-23 14:27:28,31.1751
2020-04-23 15:27:27,31.1965
2020-04-23 16:27:26,31.336
2020-04-23 17:27:26,31.4218
2020-04-23 18:27:27,31.4539
2020-04-23 19:27:28,31.411
2020-04-23 20:27:27,31.2287
2020-04-23 21:27:27,31.0786
2020-04-23 22:27:28,30.907
2020-04-23 23:27:26,30.7139
2020-04-24 00:27:27,30.6388
2020-04-24 01:27:28,30.4243
2020-04-24 02:27:28,30.2527
2020-04-24 03:27:28,30.1133
2020-04-24 04:27:28,29.9953
2020-04-24 05:27:28,29.8452
2020-04-24 06:27:29,29.8344
2020-04-24 07:27:27,29.8988
2020-04-24 08:27:27,30.0919
2020-04-24 09:27:27,30.36
2020-04-24 10:27:27,30.671
2020-04-24 11:27:28,30.8855
2020-04-24 12:27:29,31.0893
2020-04-24 13:27:29,31.2502
2020-04-24 14:27:29,31.2931
2020-04-24 15:27:29,31.3574
2020-04-24 16:27:29,31.3145
2020-04-24 17:27:29,31.3896
2020-04-24 18:27:30,31.529
2020-04-24 19:27:29,31.4647
2020-04-24 20:27:28,31.4003
2020-04-24 21:27:30,31.2394
2020-04-24 22:27:29,31.1644
2020-04-24 23:27:30,31.0678
2020-04-25 00:27:29,30.907
2020-04-25 01:27:30,30.7783
2020-04-25 02:27:30,30.7675
2020-04-25 03:27:31,30.7354
2020-04-25 04:27:29,30.6388
2020-04-25 05:27:30,30.553
2020-04-25 06:27:29,30.6067
2020-04-25 07:27:30,30.6281
2020-04-25 08:27:30,30.7354
2020-04-25 09:27:30,30.8855
2020-04-25 10:27:30,31.0035
2020-04-25 11:27:31,31.1322
2020-04-25 12:27:30,31.2394
2020-04-25 13:27:30,31.3896
2020-04-25 14:27:30,31.4539
2020-04-25 15:27:30,31.4968
2020-04-25 16:27:31,31.5612
