Name: Motor2
Unit: kW
date,Power
2020-04-17 00:22:37,18.4962
2020-04-17 01:22:39,37.6692
2020-04-17 02:22:39,16.4662
2020-04-17 03:22:40,24.812
2020-04-17 04:22:38,23.6842
2020-04-17 05:22:39,16.2406
2020-04-17 06:22:40,18.0451
2020-04-17 07:22:40,17.8195
2020-04-17 08:22:39,16.4662
2020-04-17 09:22:39,16.4662
2020-04-17 10:22:40,14.8872
2020-04-17 11:22:40,18.9474
2020-04-17 12:22:39,16.4662
2020-04-17 13:22:39,32.7068
2020-04-17 14:22:38,20.0752
2020-04-17 15:22:39,19.6241
2020-04-17 16:22:40,16.2406
2020-04-17 17:22:40,14.8872
2020-04-17 18:22:41,20.0752
2020-04-17 19:22:40,23.0075
2020-04-17 20:22:40,19.1729
2020-04-17 21:22:40,20.9774
2020-04-17 22:22:41,16.4662
2020-04-17 23:22:41,18.2707
2020-04-18 00:22:42,18.7218
2020-04-18 01:22:41,39.9248
2020-04-18 02:22:41,16.4662
2020-04-18 03:22:41,1.5789
2020-04-18 05:22:41,18.4962
2020-04-18 06:22:42,18.4962
2020-04-18 07:22:42,16.4662
2020-04-18 08:22:41,24.3609
2020-04-18 09:22:41,20.0752
2020-04-18 10:22:41,16.4662
2020-04-18 11:22:43,18.4962
2020-04-18 12:22:42,18.2707
2020-04-18 13:22:41,16.2406
2020-04-18 14:22:42,18.2707
2020-04-18 15:22:41,17.594
2020-04-18 16:22:42,18.2707
2020-04-18 17:22:42,27.7444
2020-04-18 18:22:42,16.2406
2020-04-18 19:22:42,11.7293
2020-04-18 20:22:43,18.4962
2020-04-18 21:22:42,21.6541
2020-04-18 22:22:43,16.2406
2020-04-18 23:22:42,16.4662
2020-04-19 00:22:43,18.4962
2020-04-19 01:22:43,18.2707
2020-04-19 02:22:42,14.6617
2020-04-19 03:22:43,3.609
2020-04-19 04:22:43,18.4962
2020-04-19 05:22:43,16.015
2020-04-19 06:22:42,4.7368
2020-04-19 07:22:43,18.7218
2020-04-19 08:22:43,18.4962
2020-04-19 09:22:43,16.9173
2020-04-19 10:22:43,14.8872
2020-04-19 11:22:43,18.9474
2020-04-19 12:22:44,18.4962
2020-04-19 13:22:44,20.0752
2020-04-19 14:22:43,20.7519
2020-04-19 15:22:43,18.7218
2020-04-19 16:22:43,20.9774
2020-04-19 17:22:45,20.5263
2020-04-19 18:22:43,18.4962
2020-04-19 19:22:44,18.7218
2020-04-19 20:22:43,18.7218
2020-04-19 21:22:43,18.4962
2020-04-19 22:22:44,18.4962
2020-04-19 23:22:45,18.4962
2020-04-20 00:22:44,14.8872
2020-04-20 01:22:44,18.2707
2020-04-20 02:22:45,16.2406
2020-04-20 03:22:45,22.1053
2020-04-20 04:22:46,16.4662
2020-04-20 05:22:45,18.4962
2020-04-20 06:22:44,16.2406
2020-04-20 07:22:46,18.7218
2020-04-20 08:22:45,1.3534
2020-04-20 09:22:44,18.4962
2020-04-20 10:22:45,16.4662
2020-04-20 11:22:45,17.1429
2020-04-20 12:22:45,19.1729
2020-04-20 13:22:46,20.0752
2020-04-20 15:22:56,16.6917
2020-04-20 16:22:53,22.5564
2020-04-20 17:22:56,19.6241
2020-04-20 18:22:56,13.0827
2020-04-20 19:22:56,18.7218
2020-04-20 20:22:56,16.015
2020-04-20 21:22:56,16.9173
2020-04-20 22:22:57,18.7218
2020-04-20 23:22:57,12.1805
2020-04-21 00:22:56,19.1729
2020-04-21 02:23:06,23.9098
2020-04-21 03:23:06,18.0451
2020-04-21 04:23:06,20.5263
2020-04-21 05:23:07,13.985
2020-04-21 06:23:07,19.1729
2020-04-21 07:23:08,18.2707
2020-04-21 08:23:08,17.594
2020-04-21 09:23:08,16.9173
2020-04-21 10:23:07,23.0075
2020-04-21 11:23:06,17.3684
2020-04-21 12:23:08,18.4962
2020-04-21 13:23:07,18.4962
2020-04-21 14:23:08,20.7519
2020-04-21 15:23:08,14.2105
2020-04-21 16:23:08,18.4962
2020-04-21 17:23:07,18.4962
2020-04-21 18:23:08,16.9173
2020-04-21 19:23:08,22.5564
2020-04-21 20:23:07,18.2707
2020-04-21 21:23:07,19.3985
2020-04-21 22:23:08,18.2707
2020-04-21 23:23:07,18.4962
2020-04-22 00:23:08,19.3985
2020-04-22 01:23:08,22.3308
2020-04-22 02:23:08,20.5263
2020-04-22 03:23:08,18.2707
2020-04-22 04:23:09,22.5564
2020-04-22 05:23:08,13.985
2020-04-22 06:23:09,18.2707
2020-04-22 07:23:08,16.2406
2020-04-22 08:23:10,20.5263
2020-04-22 09:23:09,16.2406
2020-04-22 10:23:10,17.594
2020-04-22 11:23:10,18.9474
2020-04-22 12:23:10,18.9474
2020-04-22 13:23:11,18.2707
2020-04-22 14:23:11,20.3008
2020-04-22 15:23:11,0.0
2020-04-22 16:23:12,0.0
2020-04-22 17:23:12,0.0
2020-04-22 18:23:12,0.0
2020-04-22 19:23:13,0.0
2020-04-22 20:23:13,0.0
2020-04-22 21:23:13,0.0
2020-04-22 22:23:14,0.0
2020-04-22 23:23:14,0.0
2020-04-23 00:23:11,0.0
2020-04-23 01:23:10,0.0
2020-04-23 02:23:09,0.0
2020-04-23 03:23:10,0.0
2020-04-23 04:23:10,0.0
2020-04-23 05:23:11,0.0
2020-04-23 06:23:10,0.0
2020-04-23 07:23:10,0.0
2020-04-23 08:23:10,0.0
2020-04-23 09:23:09,0.0
2020-04-23 10:23:10,0.0
2020-04-23 11:23:11,0.0
2020-04-23 12:23:10,0.0
2020-04-23 13:23:12,0.0
2020-04-23 14:23:11,0.0
2020-04-23 15:23:12,0.0
2020-04-23 16:23:10,0.0
2020-04-23 17:23:11,0.0
2020-04-23 18:23:12,0.0
2020-04-23 19:23:10,0.0
2020-04-23 20:23:11,0.0
2020-04-23 21:23:12,0.0
2020-04-23 22:23:11,0.0
2020-04-23 23:23:11,0.0
2020-04-24 00:23:12,0.0
2020-04-24 01:23:11,0.0
2020-04-24 02:23:12,0.0
2020-04-24 03:23:13,0.0
2020-04-24 04:23:23,0.0
2020-04-24 05:23:23,0.0
2020-04-24 06:23:22,0.0
2020-04-24 07:23:23,0.0
2020-04-24 08:23:23,0.0
2020-04-24 09:23:24,0.0
2020-04-24 10:23:23,0.0
2020-04-24 11:23:23,0.0
2020-04-24 12:23:22,0.0
2020-04-24 13:23:24,0.0
2020-04-24 14:23:23,0.0
2020-04-24 15:23:23,0.0
2020-04-24 16:23:23,0.0
2020-04-24 17:23:24,0.0
2020-04-24 18:23:24,0.0
2020-04-24 19:23:22,0.0
2020-04-24 20:23:23,0.0
2020-04-24 21:23:23,0.0
2020-04-24 22:23:24,0.0
2020-04-24 23:23:23,0.0
2020-04-25 00:23:23,0.0
2020-04-25 01:23:23,0.0
2020-04-25 02:23:24,0.0
2020-04-25 03:23:24,0.0
2020-04-25 04:23:25,0.0
2020-04-25 05:23:24,0.0
2020-04-25 06:23:23,0.0
2020-04-25 07:23:25,0.0
2020-04-25 08:23:24,0.0
2020-04-25 09:23:23,0.0
2020-04-25 10:23:24,0.0
2020-04-25 11:23:24,0.0
2020-04-25 12:23:24,0.0
2020-04-25 13:23:24,0.0
2020-04-25 14:23:25,0.0
2020-04-25 15:23:25,0.0
2020-04-25 16:23:24,0.0
2020-04-25 17:23:26,0.0
2020-04-25 18:23:25,0.0
2020-04-25 19:23:35,0.0
2020-04-25 20:23:34,0.0
2020-04-25 21:23:34,0.0
2020-04-25 22:23:35,0.0
2020-04-25 23:23:36,0.0
2020-04-26 00:23:36,0.0
2020-04-26 01:23:35,0.0
2020-04-26 02:23:35,0.0
2020-04-26 03:23:36,0.0
2020-04-26 04:23:35,0.0
2020-04-26 05:23:36,0.0
2020-04-26 06:23:35,0.0
2020-04-26 07:23:36,0.0
2020-04-26 08:23:36,0.0
2020-04-26 09:23:36,0.0
2020-04-26 10:23:36,0.0
2020-04-26 11:23:37,0.0
2020-04-26 12:23:35,0.0
2020-04-26 13:23:36,0.0
2020-04-26 14:23:38,0.0
2020-04-26 15:23:36,0.0
2020-04-26 16:23:38,0.0
2020-04-26 17:23:36,0.0
2020-04-26 18:23:37,0.0
2020-04-26 19:23:37,0.0
2020-04-26 20:23:35,0.0
2020-04-26 21:23:38,0.0
2020-04-26 22:23:37,0.0
2020-04-26 23:23:37,0.0
2020-04-27 00:23:38,0.0
2020-04-27 01:23:36,0.0
2020-04-27 02:23:37,0.0
2020-04-27 03:23:38,0.0
2020-04-27 04:23:38,0.0
2020-04-27 05:23:38,0.0
2020-04-27 06:23:37,0.0
2020-04-27 07:23:38,0.0
2020-04-27 08:23:38,0.0
2020-04-27 09:23:38,0.0
2020-04-27 10:23:38,0.0
2020-04-27 11:23:39,0.0
2020-04-27 12:23:38,0.0
2020-04-27 13:23:38,0.0
2020-04-27 14:23:37,0.0
2020-04-27 15:23:39,0.0
2020-04-27 16:23:39,0.0
2020-04-27 17:23:39,0.0
2020-04-27 18:23:40,0.0
2020-04-27 19:23:38,0.0
2020-04-27 20:23:39,0.0
2020-04-27 21:23:39,0.0
2020-04-27 22:23:40,0.0
2020-04-27 23:23:39,0.0
2020-04-28 00:23:38,0.0
2020-04-28 01:23:40,0.0
2020-04-28 02:23:40,0.0
2020-04-28 03:23:39,0.0
2020-04-28 04:23:39,0.0
2020-04-28 05:23:40,0.0
2020-04-28 06:23:39,0.0
2020-04-28 07:23:38,0.0
2020-04-28 08:23:40,0.0
2020-04-28 09:23:40,0.0
2020-04-28 10:23:41,0.0
2020-04-28 11:23:40,0.0
2020-04-28 12:23:40,0.0
2020-04-28 13:23:40,0.0
2020-04-28 14:23:39,0.0
2020-04-28 15:23:39,0.0
2020-04-28 16:23:38,0.0
2020-04-28 17:23:40,0.0
2020-04-28 18:23:41,0.0
2020-04-28 19:23:40,0.0
2020-04-28 20:23:40,0.0
2020-04-28 21:23:40,0.0
2020-04-28 22:23:41,0.0
2020-04-28 23:23:41,0.0
2020-04-29 00:23:41,0.0
2020-04-29 01:23:39,0.0
2020-04-29 02:23:41,0.0
2020-04-29 03:23:42,0.0
2020-04-29 04:23:41,0.0
2020-04-29 05:23:41,0.0
2020-04-29 06:23:40,0.0
2020-04-29 07:23:42,0.0
2020-04-29 08:23:42,0.0
2020-04-29 09:23:41,0.0
2020-04-29 10:23:40,0.0
2020-04-29 11:23:41,0.0
2020-04-29 12:23:41,0.0
2020-04-29 13:23:41,0.0
2020-04-29 14:23:42,0.0
2020-04-29 15:28:42,16.6917
2020-04-29 16:28:43,21.203
2020-04-29 17:28:43,25.4887
2020-04-29 18:28:43,16.4662
2020-04-29 19:28:44,18.4962
2020-04-29 20:28:44,18.4962
2020-04-29 21:28:44,18.7218
2020-04-29 22:28:44,18.9474
2020-04-29 23:28:55,18.7218
2020-04-30 00:28:52,20.5263
2020-04-30 01:28:52,18.7218
2020-04-30 02:28:52,18.4962
2020-04-30 03:28:53,18.4962
2020-04-30 04:28:52,18.7218
2020-04-30 05:28:52,14.2105
2020-04-30 06:28:53,18.7218
2020-04-30 07:28:53,16.6917
2020-04-30 08:28:53,16.4662
2020-04-30 09:28:54,18.4962
2020-04-30 11:28:54,18.7218
2020-04-30 12:28:54,18.7218
2020-04-30 13:28:54,18.7218
2020-04-30 14:28:54,18.7218
2020-04-30 15:28:55,16.6917
2020-04-30 16:28:54,18.7218
2020-04-30 17:28:54,19.1729
2020-04-30 18:28:54,18.2707
2020-04-30 19:28:53,16.2406
2020-04-30 20:28:55,16.2406
2020-04-30 21:28:54,18.7218
2020-04-30 22:28:55,19.6241
2020-04-30 23:28:54,18.4962
2020-05-01 00:28:55,3.609
2020-05-01 01:28:55,18.4962
2020-05-01 02:28:55,16.6917
2020-05-01 03:28:54,18.7218
2020-05-01 04:28:55,16.4662
2020-05-01 05:28:55,21.4286
2020-05-01 06:28:55,16.2406
2020-05-01 07:28:55,18.4962
2020-05-01 08:28:55,18.7218
2020-05-01 09:28:56,18.7218
2020-05-01 10:28:55,18.4962
2020-05-01 11:28:55,14.6617
2020-05-01 12:28:55,22.5564
2020-05-01 13:28:55,18.4962
2020-05-01 14:28:56,18.4962
2020-05-01 15:28:56,18.0451
2020-05-01 16:28:56,18.4962
2020-05-01 17:28:55,18.4962
2020-05-01 18:28:55,18.4962
2020-05-01 19:28:56,16.2406
2020-05-01 20:28:53,18.4962
2020-05-01 21:28:57,18.4962
2020-05-01 22:28:56,16.2406
2020-05-01 23:28:56,18.7218
2020-05-02 00:28:56,17.1429
2020-05-02 01:28:56,18.4962
2020-05-02 02:28:57,18.7218
2020-05-02 03:28:56,18.4962
2020-05-02 04:28:56,18.0451
2020-05-02 05:28:57,5.6391
2020-05-02 06:28:58,18.4962
2020-05-02 07:28:57,20.3008
2020-05-02 08:28:57,16.015
2020-05-02 09:28:57,22.782
2020-05-02 10:28:57,16.2406
2020-05-02 11:28:57,18.4962
2020-05-02 12:28:56,18.7218
2020-05-02 13:28:57,16.4662
2020-05-02 14:28:58,16.4662
2020-05-02 15:28:58,16.6917
2020-05-02 17:28:57,16.6917
2020-05-02 18:28:57,16.2406
2020-05-02 19:28:57,16.4662
2020-05-02 20:28:57,20.5263
2020-05-02 21:28:58,30.2256
2020-05-02 22:28:57,16.9173
